Frame,Timestamp_s,X_Position_m,X_Velocity_m_s,X_Acceleration_m_s2,Current_A,F,Torque
1,0,0,0,0,0,0,0
2,0.0166666666666667,0,0,0,0,0,0
3,0.0333333333333333,0,0,0,0,0,0
4,0.05,0,0,0,0,0,0
5,0.0666666666666667,0,0,0,0,0,0
6,0.0833333333333333,0,0,0,0,0,0
7,0.1,0,0,0,0,0,0
8,0.116666666666667,0,0,0,0,0,0
9,0.133333333333333,0,0,0,0,0,0
10,0.15,0,0,0,0,0,0
11,0.166666666666667,0,0,0,0,0,0
12,0.183333333333333,0,0,0,0,0,0
13,0.2,0.001,0.06,3.6,0,6.2496,0
14,0.216666666666667,0.001,0,-3.6,0,-6.2496,0
15,0.233333333333333,0.002,0.06,3.6,0,6.2496,0
16,0.25,0.003,0.06,0,0,0,0
17,0.266666666666667,0.005,0.12,3.6,0,6.2496,0
18,0.283333333333333,0.008,0.18,3.6,0,6.2496,0
19,0.3,0.012,0.24,3.6,0,6.2496,0
20,0.316666666666667,0.016,0.24,0,0,0,0
21,0.333333333333333,0.019,0.18,-3.6,0,-6.24960000000001,0
22,0.35,0.023,0.24,3.6,0,6.24960000000001,0
23,0.366666666666667,0.028,0.3,3.6,0,6.2496,0
24,0.383333333333333,0.031,0.18,-7.2,0,-12.4992,0
25,0.4,0.035,0.24,3.60000000000001,0,6.24960000000003,0
26,0.416666666666667,0.039,0.24,-2.4980018054066e-14,0,-4.33653113418586e-14,0
27,0.433333333333333,0.043,0.24,0,0,0,0
28,0.45,0.048,0.3,3.60000000000003,0,6.24960000000005,0
29,0.466666666666667,0.053,0.3,-2.33146835171283e-14,1,-4.04742905857347e-14,0.0364077669902913
30,0.483333333333333,0.059,0.36,3.6,1,6.24960000000001,0.0364077669902913
31,0.5,0.064,0.3,-3.59999999999998,1,-6.24959999999997,0.0364077669902913
32,0.516666666666667,0.069,0.3,0,1,0,0.0364077669902913
33,0.533333333333333,0.073,0.239999999999999,-3.60000000000005,1,-6.24960000000009,0.0364077669902913
34,0.55,0.076,0.18,-3.59999999999995,1,-6.24959999999992,0.0364077669902913
35,0.566666666666667,0.08,0.24,3.6,1,6.24960000000001,0.0364077669902913
36,0.583333333333333,0.085,0.3,3.6,1,6.24960000000001,0.0364077669902913
37,0.6,0.09,0.299999999999999,-4.9960036108132e-14,1,-8.67306226837172e-14,0.0364077669902913
38,0.616666666666667,0.095,0.3,4.9960036108132e-14,1.27,8.67306226837172e-14,0.0462378640776699
39,0.633333333333333,0.101,0.36,3.6,1.27,6.24960000000001,0.0462378640776699
40,0.65,0.106,0.299999999999999,-3.60000000000005,1.27,-6.24960000000009,0.0462378640776699
41,0.666666666666667,0.112,0.36,3.60000000000005,1.27,6.24960000000009,0.0462378640776699
42,0.683333333333333,0.118,0.359999999999999,-4.9960036108132e-14,1.27,-8.67306226837172e-14,0.0462378640776699
43,0.7,0.124,0.36,4.9960036108132e-14,1.27,8.67306226837172e-14,0.0462378640776699
44,0.716666666666667,0.13,0.36,0,1.27,0,0.0462378640776699
45,0.733333333333333,0.136,0.36,0,1.27,0,0.0462378640776699
46,0.75,0.142,0.359999999999999,-9.99200722162641e-14,1.27,-1.73461245367434e-13,0.0462378640776699
47,0.766666666666667,0.147,0.3,-3.5999999999999,1.27,-6.24959999999983,0.0462378640776699
48,0.783333333333333,0.152,0.3,0,1.27,0,0.0462378640776699
49,0.8,0.157,0.3,0,1.27,0,0.0462378640776699
50,0.816666666666667,0.163,0.36,3.6,1.27,6.24960000000001,0.0462378640776699
51,0.833333333333333,0.169,0.36,0,1.27,0,0.0462378640776699
52,0.85,0.175,0.359999999999999,-9.99200722162641e-14,1.27,-1.73461245367434e-13,0.0462378640776699
53,0.866666666666667,0.181,0.36,9.99200722162641e-14,1.27,1.73461245367434e-13,0.0462378640776699
54,0.883333333333333,0.187,0.36,0,1.27,0,0.0462378640776699
55,0.9,0.193,0.36,0,1.27,0,0.0462378640776699
56,0.916666666666667,0.198,0.3,-3.6,1.27,-6.24960000000001,0.0462378640776699
